Asset ID,Asset Barcode,Serial Number,Model,Condition ID,Scrap Value,Current Value,Purchase Price,Is Checked Out,Asset Name,Brand,Manufacturer,Asset Category,Location,Status,Condition,Notes (i.e description of item)
201,XMSA0078,XMSA0078,,6,,5500,,FALSE,LOW-BACK/RECEPTION SWIVEL CHAIR,,,Furniture,OFFICE,In Use,Good,
202,XMSA0081,XMSA0081,,6,,5500,,FALSE,LOW-BACK RECEPTION SWIVEL CHAIR,,,Furniture,OFFICE,In Use,Good,
203,XMSA0080,XMSA0080,,6,,5500,,FALSE,LOW-BACK RECEPTION SWIVEL CHAIR,,,Furniture,OFFICE,In Use,Good,
204,XMSA0079,XMSA0079,,6,,5500,,FALSE,LOW-BACK RECEPTION SWIVEL CHAIR,,,Furniture,OFFICE,In Use,Good,
205,XMSA0082,XMSA0082,,6,,3000,,FALSE,VISITORS CHAIRS,,,Furniture,OFFICE,In Use,Good,
206,XMSA0083,XMSA0083,,6,,3000,,FALSE,VISITORS CHAIRS,,,Furniture,OFFICE,In Use,Good,
207,XMSA0084,XMSA0084,,6,,3000,,FALSE,VISITORS CHAIRS,,,Furniture,OFFICE,In Use,Good,
208,XMSA0085,XMSA0085,,6,,3000,,FALSE,VISITORS CHAIRS,,,Furniture,OFFICE,In Use,Good,
209,XMSA0086,XMSA0086,,6,,3000,,FALSE,VISITORS CHAIRS,,,Furniture,OFFICE,In Use,Good,
210,XMSA0087,XMSA0087,,6,,3000,,FALSE,VISITORS CHAIRS,,,Furniture,OFFICE,In Use,Good,
211,XMSA0088,XMSA0088,,6,,3000,,FALSE,VISITORS CHAIRS,,,Furniture,OFFICE,In Use,Good,
212,XMSA0089,XMSA0089,,6,,,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
213,XMSA0090,XMSA0090,,6,,,,FALSE,PLASTIC CHAIRS,,,Furniture,STORE,In Use,Good,
214,XMSA0091,XMSA0091,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
215,XMSA0092,XMSA0092,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
216,XMSA0093,XMSA0093,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
217,XMSA0094,XMSA0094,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
218,XMSA0095,XMSA0095,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
219,XMSA0096,XMSA0096,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
220,XMSA0097,XMSA0097,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
221,XMSA0098,XMSA0098,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
222,XMSA0099,XMSA0099,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
223,XMSA00100,XMSA00100,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
224,XMSA00101,XMSA00101,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,STORE,In Use,Good,
225,XMSA00102,XMSA00102,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
226,XMSA00103,XMSA00103,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
227,XMSA00104,XMSA00104,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
228,XMSA00105,XMSA00105,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
